StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
cel-e1031-01,Ethernet1,e1031-fanout,Ethernet1,1000,100,Access
cel-e1031-01,Ethernet2,e1031-fanout,Ethernet2,1000,101,Access
cel-e1031-01,Ethernet3,e1031-fanout,Ethernet3,1000,102,Access
cel-e1031-01,Ethernet4,e1031-fanout,Ethernet4,1000,103,Access
cel-e1031-01,Ethernet5,e1031-fanout,Ethernet5,1000,104,Access
cel-e1031-01,Ethernet6,e1031-fanout,Ethernet6,1000,105,Access
cel-e1031-01,Ethernet7,e1031-fanout,Ethernet7,1000,106,Access
cel-e1031-01,Ethernet8,e1031-fanout,Ethernet8,1000,107,Access
cel-e1031-01,Ethernet9,e1031-fanout,Ethernet9,1000,108,Access
cel-e1031-01,Ethernet10,e1031-fanout,Ethernet10,1000,109,Access
cel-e1031-01,Ethernet11,e1031-fanout,Ethernet11,1000,110,Access
cel-e1031-01,Ethernet12,e1031-fanout,Ethernet12,1000,111,Access
cel-e1031-01,Ethernet13,e1031-fanout,Ethernet13,1000,112,Access
cel-e1031-01,Ethernet14,e1031-fanout,Ethernet14,1000,113,Access
cel-e1031-01,Ethernet15,e1031-fanout,Ethernet15,1000,114,Access
cel-e1031-01,Ethernet16,e1031-fanout,Ethernet16,1000,115,Access
cel-e1031-01,Ethernet17,e1031-fanout,Ethernet17,1000,116,Access
cel-e1031-01,Ethernet18,e1031-fanout,Ethernet18,1000,117,Access
cel-e1031-01,Ethernet19,e1031-fanout,Ethernet19,1000,118,Access
cel-e1031-01,Ethernet20,e1031-fanout,Ethernet20,1000,119,Access
cel-e1031-01,Ethernet21,e1031-fanout,Ethernet21,1000,120,Access
cel-e1031-01,Ethernet22,e1031-fanout,Ethernet22,1000,121,Access
cel-e1031-01,Ethernet23,e1031-fanout,Ethernet23,1000,122,Access
cel-e1031-01,Ethernet24,e1031-fanout,Ethernet24,1000,123,Access
cel-e1031-01,Ethernet25,e1031-fanout,Ethernet25,1000,124,Access
cel-e1031-01,Ethernet26,e1031-fanout,Ethernet26,1000,125,Access
cel-e1031-01,Ethernet27,e1031-fanout,Ethernet27,1000,126,Access
cel-e1031-01,Ethernet28,e1031-fanout,Ethernet28,1000,127,Access
cel-e1031-01,Ethernet29,e1031-fanout,Ethernet29,1000,128,Access
cel-e1031-01,Ethernet30,e1031-fanout,Ethernet30,1000,129,Access
cel-e1031-01,Ethernet31,e1031-fanout,Ethernet31,1000,130,Access
cel-e1031-01,Ethernet32,e1031-fanout,Ethernet32,1000,131,Access

